Bairro,Endereco,Preco,Bedroom2,Bathroom
Newport,4 Wilkins St,1675000,3,2
Ashburton,69 Albion Rd,1670000,3,2
Malvern East,1/380 Waverley Rd,1670000,3,2
Port Melbourne,59 Heath St,1670000,3,2
Murrumbeena,19 Wahroongaa Rd,1670000,3,2
Moonee Ponds,9 Corio St,1670000,3,2
Kew,47 Brougham St,1668000,3,2
Ashburton,18 Glen Rd,1665000,3,2
Camberwell,52 Fairview Av,1665000,3,2
Ashburton,6a Glen Rd,1662000,3,2
Hampton,1/35 Holyrood St,1660000,3,2
Hawthorn,29 Edward St,1660000,3,2
Northcote,21 Howitt St,1660000,3,2
West Melbourne,90 Miller St,1654000,3,2
Surrey Hills,68 Weybridge St,1652000,3,2
Richmond,320 Church St,1651000,3,2
Sandringham,124 Abbott St,1651000,3,2
Mount Waverley,45 Leeds Rd,1651000,3,2
Williamstown,18 Cecil St,1651000,3,2
Bentleigh,48 Vickery St,1650000,3,2
Brighton,1/10 Manor St,1650000,3,2
Brighton,5 Bridge St,1650000,3,2
Camberwell,3/107 Wattle Valley Rd,1650000,3,2
Richmond,57 Neptune St,1650000,3,2
Sandringham,3 Campbell St,1650000,3,2
Albert Park,103 Ashworth St,1650000,3,2
Carnegie,14 Emily St,1646000,3,2
Glen Iris,2a Howard St,1640000,3,2
Kensington,21 The Ridgeway,1640000,3,2
Armadale,4/48 New St,1635000,3,2
Richmond,53 Firebell La,1635000,3,2
Moonee Ponds,4 Eglinton St,1635000,3,2
Surrey Hills,8 Belmont St,1635000,3,2
Glen Iris,22 Vears Rd,1633000,3,2
Ashwood,58 Ashwood Dr,1631000,3,2
Port Melbourne,6/156 Bay St,1631000,3,2
Essendon,16 Cliff St,1630000,3,2
Melbourne,60 Hayward La,1630000,3,2
Moonee Ponds,24 Hotham St,1630000,3,2
Port Melbourne,22 Park Sq,1630000,3,2
Ivanhoe East,1 Hartlands Rd,1630000,3,2
Mordialloc,9A Montgomery St,1627000,3,2
Camberwell,6 Judd St,1625000,3,2
Elsternwick,393 Kooyong Rd,1625000,3,2
Elwood,2 Docker St,1625000,3,2
Essendon,31 Graves St,1625000,3,2
Glen Iris,1/33 Yeovil Rd,1625000,3,2
Malvern East,68A Emo Rd,1625000,3,2
Maribyrnong,6/3 Hillside Cr,1625000,3,2
Kew,12 Queen St,1625000,3,2
Camberwell,26 Oxford St,1622000,3,2
Brighton,6c Lindsay St,1620000,3,2
Brighton East,6 Balfour St,1620000,3,2
Fitzroy,60 Bell St,1620000,3,2
Kew East,3/14 Arden Ct,1620000,3,2
Thornbury,51 Martin St,1620000,3,2
Camberwell,72 Hunter Rd,1620000,3,2
Hampton,14 Field St,1620000,3,2
Murrumbeena,22 Reid St,1620000,3,2
Doncaster East,8 Rosamond Cr,1620000,3,2
Fairfield,181 Gillies St,1620000,3,2
Ormond,37 Dalmor Av,1620000,3,2
Preston,17 Tynan St,1615000,3,2
Hampton,10 Wales St,1615000,3,2
Prahran,62 Pridham St,1612000,3,2
Glen Iris,1/64 Glen Iris Rd,1610000,3,2
Bentleigh,22 Mortimore St,1610000,3,2
Kew,19 Edgevale Rd,1610000,3,2
Thornbury,111 Keon St,1605500,3,2
Essendon North,21 Greville St,1605000,3,2
Ivanhoe,10 Abbotsford Gr,1605000,3,2
Glen Waverley,7 Matthew St,1605000,3,2
Brighton,3/24 South Rd,1602000,3,2
Fitzroy,47 Charles St,1600000,3,2
Richmond,7 Bank St,1600000,3,2
Richmond,22a Stanley St,1600000,3,2
Coburg,44 Saunders St,1600000,3,2
Highett,8 Sydenham St,1600000,3,2
Balwyn North,1/6 Corhampton Rd,1600000,3,2
Richmond,106 Buckingham St,1600000,3,2
Clifton Hill,8 Clifton St,1600000,3,2
Ashburton,4 Sky La,1595000,3,2
Fitzroy,348 Napier St,1595000,3,2
South Yarra,25 Tyrone St,1595000,3,2
Hawthorn East,3/859 Toorak Rd,1590000,3,2
Richmond,17 Dickmann St,1590000,3,2
Brighton East,9 Dunoon Ct,1590000,3,2
Caulfield South,24 Remuera St,1590000,3,2
Beaumaris,11 Hastings Av,1589000,3,2
Burwood,8 Murray Dr,1588000,3,2
Mont Albert,47 View St,1587000,3,2
Port Melbourne,220 Nott St,1585000,3,2
Essendon North,3 Oshannassy St,1580000,3,2
Mont Albert,1/11 Rowland St,1580000,3,2
Caulfield South,26 Flowers St,1577500,3,2
Williamstown,19 Perry St,1575000,3,2
Caulfield South,245 Booran Rd,1570000,3,2
Port Melbourne,9 The Cove,1570000,3,2
Carnegie,135 Leila Rd,1570000,3,2
Fitzroy North,2 Tait St,1570000,3,2
Mont Albert,47 Zetland Rd,1564000,3,2
Elwood,288 Barkly St,1561000,3,2
Port Melbourne,95 Heath St,1560000,3,2
South Yarra,4C Surrey Rd,1560000,3,2
Balwyn North,1A Abassia St,1557000,3,2
Ashburton,3 Dunlop St,1555000,3,2
Malvern East,50 The Boulevard,1555000,3,2
Richmond,288 Church St,1555000,3,2
Ashwood,22 Carlyle St,1554000,3,2
Glen Iris,39 Welfare Pde,1550000,3,2
Glen Iris,44A Beryl St,1550000,3,2
Fairfield,60 Station St,1550000,3,2
Glen Waverley,4 Turner Ct,1550000,3,2
North Melbourne,60 Shiel St,1550000,3,2
Kensington,69 Rankins Rd,1550000,3,2
Templestowe,239 Serpells Rd,1550000,3,2
Doncaster,39 Kiewa St,1542000,3,2
Mount Waverley,6 Gallery Pl,1542000,3,2
Burwood,19 Puerta St,1540000,3,2
South Yarra,36 Tyrone St,1540000,3,2
Windsor,7b Nathan Pl,1540000,3,2
Princes Hill,78 Arnold St,1540000,3,2
Beaumaris,12 Grandview Av,1540000,3,2
Ivanhoe East,46 McArthur Rd,1535000,3,2
Moonee Ponds,4 Addison St,1530000,3,2
Ascot Vale,39 Middle St,1530000,3,2
Caulfield South,14 Jupiter St,1530000,3,2
Essendon,100 McCracken St,1527500,3,2
Surrey Hills,61 Broughton Rd,1525000,3,2
Richmond,35 River St,1525000,3,2
Burwood,24 Wallace Rd,1521000,3,2
Niddrie,12 Coghlan St,1521000,3,2
Fitzroy,1/59 Leicester St,1520000,3,2
Carlton,1/2 Drummond St,1520000,3,2
Elwood,23 Byron St,1520000,3,2
Essendon,9 Washington St,1520000,3,2
Glen Iris,22 Cusdin St,1520000,3,2
Mont Albert,4 Harriett Cr,1520000,3,2
Caulfield East,4 Moodie St,1520000,3,2
Ashburton,1/1 Nairn St,1518000,3,2
Port Melbourne,159 Albert St,1515000,3,2
Hawthorn,1/9 Kinkora Rd,1510000,3,2
Carnegie,67 Belsize Av,1510000,3,2
Ormond,57 Holloway St,1510000,3,2
Hawthorn East,54 Pleasant Rd,1510000,3,2
Balwyn,8 Birdwood St,1510000,3,2
Burwood,64 Somers St,1510000,3,2
Templestowe Lower,16 Rosa St,1509000,3,2
Carnegie,22A Mernda Av,1508000,3,2
Essendon,1 Braemar St,1505000,3,2
Moonee Ponds,30 Tennyson St,1505000,3,2
Carnegie,6 Longstaff St,1501000,3,2
Glen Iris,1/25 Gardiner Pde,1501000,3,2
Brighton,45 Black St,1500000,3,2
Brighton East,80 Marriage Rd,1500000,3,2
Glen Iris,42 Martin Rd,1500000,3,2
Brighton East,10 Grant St,1500000,3,2
Beaumaris,6 Monaco Cr,1500000,3,2
Kew East,7 Cadow St,1500000,3,2
Carnegie,121 Leila Rd,1500000,3,2
Beaumaris,92 Haydens Rd,1500000,3,2
Beaumaris,11 Sunset Av,1500000,3,2
Strathmore,39 Henshall Rd,1500000,3,2
Frankston,103 Gould St,1497500,3,2
Templestowe,5 Noorilim Cl,1496000,3,2
Richmond,1 Hodgson Tce,1495000,3,2
Alphington,136A Fulham Rd,1492000,3,2
Fairfield,103 Arthur St,1492000,3,2
Nunawading,121 Esdale St,1491000,3,2
Carnegie,21 Edgewood St,1490000,3,2
Kew,6 Wellington St,1490000,3,2
Ascot Vale,7 Elliott St,1490000,3,2
Richmond,37 Cutter St,1490000,3,2
Doncaster,19 Gilmore Rd,1485000,3,2
Hawthorn,3/20 Yarra Gr,1485000,3,2
Balwyn North,1/5 Dumblane St,1485000,3,2
Williamstown,118 Hannan St,1482500,3,2
Fitzroy,124 Westgarth St,1481000,3,2
Brighton East,4 Vincent St,1480000,3,2
Richmond,31 Coppin St,1480000,3,2
North Melbourne,24 Leveson St,1480000,3,2
Hughesdale,1A Rugby Rd,1480000,3,2
Glen Iris,11A Creswick St,1480000,3,2
Malvern East,8 Ellison St,1479000,3,2
Kew,2A Churchill St,1476000,3,2
Balaclava,5a Rosamond St,1475000,3,2
Thornbury,4 Raleigh St,1475000,3,2
Balwyn,1/32 Yerrin St,1472000,3,2
Hampton East,31 Warland Rd,1471000,3,2
Bentleigh,66 Fromer St,1470000,3,2
Caulfield South,9 Filbert St,1470000,3,2
Collingwood,38/99 Oxford St,1470000,3,2
Collingwood,98 Hotham St,1470000,3,2
Williamstown,17 Yarra St,1470000,3,2
Ormond,1 Carcoola Ct,1470000,3,2
Essendon,65 Napier St,1467000,3,2
Essendon,211 Napier St,1467000,3,2
Burwood,68 Somers St,1465500,3,2
Bentleigh East,31b Purtell St,1465000,3,2
Richmond,41 Shelley St,1465000,3,2
Hawthorn East,2/859 Toorak Rd,1465000,3,2
Surrey Hills,12 Arthur St,1465000,3,2
Ivanhoe,9 Myrtle St,1465000,3,2
Prahran,7 MacKay St,1463000,3,2
Mentone,1 Walden Rd,1462000,3,2
Box Hill,12 Barcelona St,1461400,3,2
Essendon,22 Tweedside St,1460000,3,2
Hampton,1/33 Holyrood St,1460000,3,2
Williamstown,22 Bayview St,1460000,3,2
Highett,9 Barnet St,1460000,3,2
Highett,6 Frances St,1460000,3,2
Collingwood,123 Hotham St,1460000,3,2
Hampton,5b Ocean St,1457500,3,2
Richmond,134 Coppin St,1456000,3,2
Camberwell,1/26 Cooloongatta Rd,1455000,3,2
Yarraville,18 Stewart St,1455000,3,2
Doncaster East,31 Cavalier St,1451000,3,2
Mount Waverley,11 Pamela St,1451000,3,2
Fitzroy North,55 Seacombe St,1450000,3,2
Hampton,29 Grenville St,1450000,3,2
South Melbourne,8 Fitzpatrick St,1450000,3,2
Yarraville,20 Grace St,1450000,3,2
Highett,7 Danson St,1450000,3,2
Moonee Ponds,1 Stuart St,1450000,3,2
Fitzroy North,40 Jamieson St,1450000,3,2
Strathmore,8 Houston Av,1450000,3,2
Sandringham,70 Grange Rd,1450000,3,2
Bentleigh,25 Mitchell St,1448000,3,2
Essendon,21 Miller St,1445000,3,2
Moonee Ponds,43 Chaucer St,1440000,3,2
Glen Iris,68 Martin Rd,1440000,3,2
Murrumbeena,4 Blythe St,1437000,3,2
Clifton Hill,34 Fenwick St,1436000,3,2
Ascot Vale,8 Pentland St,1435000,3,2
Carnegie,163 Oakleigh Rd,1435000,3,2
Camberwell,2/37 Donna Buang St,1430000,3,2
Carnegie,39 Elimatta Rd,1430000,3,2
Thornbury,46 Rennie St,1430000,3,2
Bentleigh East,81 Marlborough St,1430000,3,2
Highett,25 Haynes St,1430000,3,2
Thornbury,211 Mansfield St,1430000,3,2
Brighton,2/72 Dendy St,1427000,3,2
Glen Iris,4A Seaton St,1427000,3,2
Bentleigh,11 Rogers Rd,1425000,3,2
Brighton,3a Cowra St,1425000,3,2
Essendon,6 Buckley St,1425000,3,2
Essendon North,1 Dudley St,1425000,3,2
Glen Iris,2/11 Peace St,1425000,3,2
North Melbourne,8 Stedeford La,1425000,3,2
Doncaster East,8 Raven St,1423000,3,2
Port Melbourne,13 Canberra Pde,1421000,3,2
Moonee Ponds,72 Clarinda Rd,1420200,3,2
Brighton East,54 Regent St,1420000,3,2
Canterbury,1/27 Maling Rd,1420000,3,2
Carnegie,33 McLaurin Rd,1420000,3,2
Hampton,2b Carolyn St,1420000,3,2
Kew,82 Parkhill Rd,1420000,3,2
Prahran,107A Charles St,1420000,3,2
Moorabbin,52 Bulli St,1417250,3,2
Chadstone,2 Fitzroy Gr,1415500,3,2
Brighton East,60 Centre Rd,1415000,3,2
Yarraville,27 Regent St,1414000,3,2
Fitzroy North,497 Napier St,1412500,3,2
Brighton,2/5 Loller St,1411000,3,2
Burwood,6 Alimar Ct,1410000,3,2
Kew,53 Mary St,1410000,3,2
Brighton,2/58 North Rd,1410000,3,2
Bentleigh East,125 Bignell Rd,1410000,3,2
Moorabbin,29 Hamer St,1410000,3,2
Northcote,86 Kellett St,1410000,3,2
Seaholme,5 Sussex St,1410000,3,2
Highett,23 Middleton St,1410000,3,2
Wheelers Hill,16 Jacaranda Rd,1408000,3,2
Mount Waverley,16 Walker Rd,1406000,3,2
Hawthorn East,1/27 Auburn Gr,1405000,3,2
Bundoora,12 Jones Ct,1405000,3,2
Hampton,7 Exon St,1405000,3,2
Kew,6/385 Barkers Rd,1405000,3,2
Parkville,28/238 The Avenue,1403000,3,2
Kew East,136 Kilby Rd,1402000,3,2
Rosanna,29 Millicent St,1402000,3,2
Moorabbin,1A Dactyl Rd,1401500,3,2
Box Hill,5 Wavell St,1400000,3,2
Brighton East,155 Dendy St,1400000,3,2
Hampton,6/63 Linacre Rd,1400000,3,2
Hawthorn,2/2 Kooyongkoot Rd,1400000,3,2
Moonee Ponds,22 Tennyson St,1400000,3,2
Moonee Ponds,33 Walker St,1400000,3,2
Prahran,506/220 Commercial Rd,1400000,3,2
Essendon,78 Market St,1400000,3,2
Ringwood East,23 Rosedale Cr,1400000,3,2
South Yarra,2A Albion St,1400000,3,2
Brunswick West,11 Owen St,1400000,3,2
Strathmore,31 Holyrood Av,1400000,3,2
Elwood,4 Wilton Gr,1395000,3,2
Bentleigh,3 Porter Rd,1395000,3,2
Fitzroy,15 Argyle St,1394000,3,2
Brighton,3/136 New St,1392000,3,2
Glen Iris,1 Rosedale Rd,1390000,3,2
Carnegie,34 Hunter St,1390000,3,2
Blackburn,2 Goodwin St,1390000,3,2
Caulfield South,299 Bambra Rd,1390000,3,2
Prahran,6 Aberdeen Rd,1390000,3,2
Glen Iris,2 Renwick St,1390000,3,2
Kensington,13 Albermarle St,1390000,3,2
Balwyn North,39 Kawarren St,1388800,3,2
Port Melbourne,380 Ross St,1388000,3,2
Balwyn,3/14 Weir St,1385000,3,2
Essendon,18 Vanberg Rd,1385000,3,2
North Melbourne,6 Shiel St,1385000,3,2
Burwood,2 Leopold St,1385000,3,2
Surrey Hills,35A Russell St,1385000,3,2
Doncaster East,30 Daphne St,1385000,3,2
Ascot Vale,44 Walter St,1381500,3,2
Canterbury,3/900 Burke Rd,1381000,3,2
Doncaster East,28 Highfield Rd,1381000,3,2
Yarraville,23 Castlemaine St,1380000,3,2
Balwyn,10A Head St,1380000,3,2
South Melbourne,1 Wilson St,1380000,3,2
Doncaster East,78 Saxonwood Dr,1380000,3,2
Glen Iris,2/67 Staughton Rd,1375000,3,2
Footscray,6 The Crescent,1375000,3,2
Mount Waverley,2/9 Mummery St,1375000,3,2
Hawthorn East,2/31 Rathmines Rd,1375000,3,2
Carlton North,810 Lygon St,1371000,3,2
Clayton,25 Eva St,1371000,3,2
Albert Park,4a Gatehouse La,1370000,3,2
Clifton Hill,11 Page St,1370000,3,2
Malvern East,2/16 Beaver St,1370000,3,2
Thornbury,129 Clarendon St,1370000,3,2
Murrumbeena,17 Howe St,1370000,3,2
Yarraville,26 Buninyong St,1370000,3,2
Ascot Vale,13 Victory Pde,1370000,3,2
Mitcham,506 Mitcham Rd,1370000,3,2
Parkdale,23 Davey St,1370000,3,2
Balwyn,3/3 Iramoo St,1367000,3,2
South Yarra,6/24 Kensington Rd,1365000,3,2
Murrumbeena,22 Lydson St,1365000,3,2
Oakleigh,32 Stamford Rd,1365000,3,2
Parkdale,17 Queen St,1365000,3,2
Caulfield South,391B North Rd,1364000,3,2
Footscray,37 Stirling St,1362000,3,2
Richmond,25 Dickmann St,1361000,3,2
Bentleigh,14 Riddle St,1360500,3,2
Carnegie,1/3 Coorigil Rd,1360000,3,2
Parkville,12/238 The Avenue,1360000,3,2
Bulleen,33 Walter St,1360000,3,2
Seaholme,26 Sussex St,1360000,3,2
Mount Waverley,57 Cratloe Rd,1360000,3,2
Doncaster East,2A Dianne St,1360000,3,2
Elwood,2/481 St Kilda St,1360000,3,2
Balwyn North,1A Kawarren St,1360000,3,2
Kew East,1/12 Oswin St,1360000,3,2
Oakleigh,8 William St,1360000,3,2
Caulfield South,15 Russell St,1352000,3,2
Elwood,1/10 Wilton Gr,1350000,3,2
Surrey Hills,53 Broughton Rd,1350000,3,2
Aberfeldie,47 Clifton St,1350000,3,2
Caulfield South,131 Sycamore St,1350000,3,2
Templestowe,53 Milne St,1350000,3,2
Templestowe Lower,38 Caroline Dr,1350000,3,2
Mordialloc,12 Powlett St,1350000,3,2
Parkville,30 Walker St,1350000,3,2
Bentleigh,15A Loranne St,1350000,3,2
Thornbury,35D Clapham St,1346000,3,2
Thornbury,129 Collins St,1345000,3,2
Doncaster,31 Ayr St,1343500,3,2
Port Melbourne,164 Liardet St,1342000,3,2
Ascot Vale,58 Fenton St,1340000,3,2
Bentleigh,4 Gordon St,1340000,3,2
Northcote,4A Jessie St,1340000,3,2
Kingsville,74 Chirnside St,1340000,3,2
Heidelberg,74 Brown St,1340000,3,2
Bentleigh East,38 Northam Rd,1338000,3,2
Burwood,14 Judith St,1337500,3,2
Clifton Hill,131 Noone St,1337500,3,2
Kingsville,22 Coronation St,1336000,3,2
Brighton,2/149 Carpenter St,1336000,3,2
Balwyn North,85a Woodville St,1335000,3,2
Malvern East,15 Prior Rd,1335000,3,2
Bentleigh,132 Jasper Rd,1335000,3,2
Carnegie,2/3 Milton St,1333000,3,2
Glen Iris,1A Rosemary Gr,1333000,3,2
Coburg,35 Campbell St,1331000,3,2
Bulleen,12 Rocklea Rd,1331000,3,2
Surrey Hills,3/11 Norfolk Rd,1330500,3,2
North Melbourne,331 Flemington Rd,1330000,3,2
Preston,11 Inverloch St,1330000,3,2
Strathmore,27 Henshall Rd,1330000,3,2
Glen Huntly,8 Augusta St,1330000,3,2
Williamstown,240 Coogee La,1330000,3,2
Balwyn North,2/10 Bolinda Rd,1330000,3,2
Glen Iris,1a Pascoe St,1330000,3,2
Clifton Hill,201 Roseneath St,1330000,3,2
South Yarra,23/85 Alexandra Av,1330000,3,2
Highett,33A Albert St,1330000,3,2
Bentleigh,74 Fromer St,1328000,3,2
Bentleigh,33 Luckins Rd,1328000,3,2
Collingwood,5/77 Little Oxford St,1326000,3,2
Fitzroy,10/59 Young St,1326000,3,2
Newport,7 Elgin St,1325500,3,2
North Melbourne,16 Scotia St,1325000,3,2
Williamstown,4 Freyer St,1325000,3,2
Essendon,21 Butler St,1325000,3,2
Heidelberg,12 Weyburn Ct,1325000,3,2
Murrumbeena,43b Kinlock Av,1325000,3,2
Cheltenham,15 Norland St,1323000,3,2
Hughesdale,172 Poath Rd,1322000,3,2
Richmond,11/1 Princess St,1321000,3,2
Hampton,58 Teddington Rd,1320000,3,2
Maribyrnong,33 Newstead St,1320000,3,2
Richmond,41 Cameron St,1320000,3,2
Yarraville,109 Powell St,1320000,3,2
South Yarra,6/38 Chambers St,1320000,3,2
Toorak,32/637 Orrong Rd,1320000,3,2
Essendon,27 Miller St,1320000,3,2
Footscray,84 MacPherson St,1320000,3,2
Burwood,5 Kildare St,1320000,3,2
Balwyn North,3/41 Clifton St,1315000,3,2
Glen Iris,2/23 Peace St,1315000,3,2
Oakleigh,2 Bishop St,1315000,3,2
McKinnon,35A Anne St,1312000,3,2
Bentleigh,14 Sandra Gr,1311000,3,2
Glen Waverley,42 Caithness Cr,1311000,3,2
Mont Albert,7/27 High St,1310000,3,2
Seddon,28 Lily St,1310000,3,2
Williamstown,33 Cecil St,1310000,3,2
Brunswick West,18 Hamilton St,1310000,3,2
Northcote,179 Arthurton Rd,1307500,3,2
Bentleigh East,53 Purtell St,1307000,3,2
Bentleigh East,12 John St,1306000,3,2
Bentleigh,23A Fromer St,1303000,3,2
Brighton,24b Munro St,1302500,3,2
Brighton East,22A Camperdown St,1302500,3,2
Camberwell,1/1 Glen Iris Rd,1300000,3,2
Fitzroy North,717 Brunswick St,1300000,3,2
Hampton East,29 Wickham Rd,1300000,3,2
Hawthorn,530 Burwood Rd,1300000,3,2
Malvern East,44 Thurso St,1300000,3,2
Malvern East,61a Paxton St,1300000,3,2
North Melbourne,15A Lothian St,1300000,3,2
Northcote,109 Victoria Rd,1300000,3,2
Ormond,265 Tucker Rd,1300000,3,2
Glen Waverley,31 Paxton Dr,1300000,3,2
Fairfield,45 White St,1300000,3,2
Fitzroy,197 Victoria Pde,1300000,3,2
Blackburn South,10 Barrina St,1300000,3,2
Collingwood,30 Alexander St,1297000,3,2
St Kilda,52/167 Fitzroy St,1295000,3,2
Cheltenham,4 Warren Rd,1295000,3,2
Ringwood,6 Ford St,1291000,3,2
Blackburn South,24 Sylvia St,1291000,3,2
Beaumaris,203 Balcombe Rd,1291000,3,2
Abbotsford,166 Gipps St,1290000,3,2
Surrey Hills,2/98 Durham Rd,1290000,3,2
Templestowe,8 Shelley Ct,1290000,3,2
North Melbourne,4/5 Cobden St,1287500,3,2
Coburg,89 Gordon St,1286000,3,2
Richmond,2 Kimber St,1285000,3,2
Strathmore,42 Henshall Rd,1285000,3,2
Williamstown,4 Long St,1285000,3,2
Bentleigh East,14 Moray St,1285000,3,2
Glen Iris,2 Grandview Av,1285000,3,2
Surrey Hills,33 Warrigal Rd,1285000,3,2
Moonee Ponds,3 Hotham St,1285000,3,2
Eltham,16 Fay St,1285000,3,2
Reservoir,37 Gilbank St,1285000,3,2
Bentleigh,21 Charlton St,1280000,3,2
Cremorne,443 Punt Rd,1280000,3,2
Templestowe,19 Athenry Tce,1280000,3,2
Mulgrave,33 Merrill St,1280000,3,2
Coburg,23 Berry St,1278000,3,2
Bentleigh,59b Fromer St,1275000,3,2
Richmond,6 Brady St,1275000,3,2
Carnegie,1/52 Leila Rd,1275000,3,2
Malvern East,5D Belson St,1275000,3,2
Cheltenham,4 Brownfield St,1275000,3,2
Glen Waverley,31 Chapman Bvd,1275000,3,2
Ascot Vale,7b Rothwell St,1275000,3,2
Heidelberg,29 Martin St,1271000,3,2
Clifton Hill,60a Hodgkinson St,1270000,3,2
Preston,19 Bruce St,1270000,3,2
Cheltenham,3 Amber Ct,1270000,3,2
Coburg,12 Glencairn Av,1270000,3,2
North Melbourne,9 George St,1270000,3,2
Heidelberg,77 Buckingham Dr,1270000,3,2
Essendon,79 Market St,1269000,3,2
Mount Waverley,1 Therese Av,1267000,3,2
Northcote,77 Westgarth St,1266000,3,2
Balwyn North,43 Sweyn St,1265000,3,2
Preston,5 Kendall St,1265000,3,2
Thornbury,126 Keon St,1265000,3,2
Preston,13 Adeline St,1265000,3,2
Hawthorn East,4/26 Redfern Rd,1264000,3,2
Williamstown,26A Macquarie St,1262000,3,2
Donvale,6 Cabena St,1262000,3,2
Coburg,8 Gilbert St,1260000,3,2
Kensington,33 Barnett St,1260000,3,2
Kew East,1/2 Kitchener St,1260000,3,2
Moonee Ponds,7 Browning St,1260000,3,2
Ivanhoe East,3/36 Wilfred Rd,1260000,3,2
Brunswick,38 Edward St,1260000,3,2
Brunswick,9 First Av,1260000,3,2
Bentleigh East,16 Waratah St,1260000,3,2
Essendon North,32A Birdwood St,1260000,3,2
Williamstown,14 Hosking Ct,1260000,3,2
Travancore,61 Mooltan St,1257000,3,2
Ormond,1 Bethell St,1256000,3,2
Murrumbeena,13 Churchill Cl,1256000,3,2
Ascot Vale,33 Hockey La,1255000,3,2
Hampton East,27 Charming St,1255000,3,2
Northcote,91 Arthurton Rd,1255000,3,2
Richmond,182 Buckingham St,1255000,3,2
Abbotsford,64 Yarra St,1255000,3,2
Malvern East,3/406 Wattletree Rd,1253000,3,2
Glen Iris,2/15 Scott Gr,1253000,3,2
Fitzroy,3/18 Hanover St,1252000,3,2
Brighton,48 Were St,1250000,3,2
Moonee Ponds,1a Ardmillan Rd,1250000,3,2
Richmond,50B Duke St,1250000,3,2
South Melbourne,247 York St,1250000,3,2
South Yarra,1/14 Arthur St,1250000,3,2
Ormond,44 Thompson St,1250000,3,2
Coburg,3 Beckwith St,1250000,3,2
Flemington,10 Dartford St,1250000,3,2
South Melbourne,1403/38 Bank St,1250000,3,2
Templestowe,7 Stradmore Av,1250000,3,2
Kingsville,32 Empress Av,1250000,3,2
Hampton East,48 Wickham Rd,1246000,3,2
Brighton East,3/23 Walstab St,1245000,3,2
Williamstown,8 Jobson St,1245000,3,2
Templestowe Lower,51 Jeffrey St,1245000,3,2
Maribyrnong,7 Cumberland Dr,1245000,3,2
Preston,21 Edwin St,1242000,3,2
Bentleigh East,2/1 Mervin St,1240000,3,2
Elsternwick,1/34 Clarence St,1240000,3,2
Essendon,4 Agatha St,1240000,3,2
Hawthorn East,4/2 Myrniong Gr,1240000,3,2
Moonee Ponds,65 Darling St,1240000,3,2
Templestowe Lower,124 Swanston St,1240000,3,2
Moonee Ponds,11 Murray St,1240000,3,2
Mount Waverley,3 Darbyshire Rd,1240000,3,2
Balwyn North,3/191 Balwyn Rd,1238000,3,2
Elwood,76 Byron St,1238000,3,2
Burwood,23 Cromwell St,1238000,3,2
Caulfield South,2/203 North Rd,1237000,3,2
Mitcham,15 Tirana St,1237000,3,2
Richmond,52 Lyndhurst St,1236000,3,2
Hawthorn,5/350 Auburn Rd,1236000,3,2
Bentleigh,77B Fromer St,1235000,3,2
Niddrie,32 Diamond St,1235000,3,2
South Yarra,23/350 Toorak Rd,1235000,3,2
Brighton East,5 Arnot St,1230000,3,2
Malvern East,2a Ivanhoe Gr,1230000,3,2
South Yarra,43/100 Commercial Rd,1230000,3,2
Niddrie,45 Muriel St,1230000,3,2
Bundoora,4 Hillhouse Cr,1230000,3,2
Clifton Hill,195 Gold St,1226000,3,2
Bentleigh East,28B Barrington St,1225000,3,2
Blackburn,3 Anjaya Ct,1225000,3,2
Fairfield,220 Wingrove St,1225000,3,2
Ivanhoe,15 Kwinana Ct,1223500,3,2
Bentleigh,11A Mortimore St,1222500,3,2
Brighton,3/12 Wellington St,1221000,3,2
Murrumbeena,2/41 Kangaroo Rd,1220500,3,2
Bentleigh East,24 Brooks St,1220000,3,2
Glen Iris,1/15 Scott Gr,1220000,3,2
Newport,23 Alma Tce,1220000,3,2
Prahran,75 Pridham St,1220000,3,2
Hawthorn East,2/28 Caroline St,1220000,3,2
Glen Waverley,4 Marcia Ct,1220000,3,2
Burwood,29 Murray Dr,1217000,3,2
Bentleigh East,24 Barrani St,1215000,3,2
Collingwood,31/78 Oxford St,1215000,3,2
Black Rock,1/47 Bluff Rd,1215000,3,2
Pascoe Vale,14 Irvine St,1215000,3,2
Coburg,35 Phillips St,1215000,3,2
Richmond,17 Campbell St,1215000,3,2
Mount Waverley,45 Grenfell Rd,1215000,3,2
Templestowe Lower,3 Buller Tce,1211000,3,2
Brighton,36 Nepean Hwy,1211000,3,2
Thornbury,31 Normanby Av,1211000,3,2
Brunswick,69 Glenlyon Rd,1210000,3,2
Malvern East,1/13 Goode St,1210000,3,2
Preston,8 Scotia St,1210000,3,2
Pascoe Vale,8A Tangyes St,1210000,3,2
Essendon,101 Deakin St,1210000,3,2
Moonee Ponds,104A Waverley St,1210000,3,2
Essendon,38C Fletcher St,1210000,3,2
Bentleigh,15A Miles St,1208000,3,2
Parkdale,1/41 Seventh St,1206000,3,2
Armadale,4/769 High St,1205000,3,2
Flemington,1/4 Chatham St,1205000,3,2
Kew East,3/1230 Old Burke Rd,1205000,3,2
Oakleigh,36 Westgate St,1205000,3,2
Mount Waverley,12 Holskamp St,1205000,3,2
Kew,1/1203 Burke Rd,1205000,3,2
Hughesdale,1/7 Dalston Rd,1203500,3,2
Coburg,3 Mavis St,1202000,3,2
